Date,Region,Products,Category,Units Sold,Unit Price,Customer Type,Total Sales
2024-08-29 00:00:00,South,Tablet,Accessories,15.0,20.23,Retail,303.45
2024-11-26 00:00:00,Unknown,Headphones,Electronics,4.0,385.86,Retail,1543.44
2024-03-19 00:00:00,South,Mouse,Accessories,16.0,81.36,Online,1301.76
2024-07-16 00:00:00,South,Headphones,Accessories,2.0,19.25,Online,38.5
2024-09-18 00:00:00,West,Monitor,Accessories,22.0,76.68,Online,1686.96
2024-10-14 00:00:00,Central,Tablet,Electronics,22.0,211.69,Wholesale,4657.18
2024-06-01 00:00:00,Central,Laptop,Electronics,5.0,394.96,Retail,1974.8
2024-03-25 00:00:00,West,Laptop,Electronics,14.0,838.47,Online,11738.58
2024-08-06 00:00:00,Central,Tablet,Electronics,4.0,813.9,Online,3255.6
2024-02-16 00:00:00,Central,Monitor,Electronics,13.0,396.79,Wholesale,5158.27
2024-06-18 00:00:00,Central,Tablet,Electronics,22.0,227.66,Online,5008.52
2024-07-31 00:00:00,North,Monitor,Electronics,14.0,395.58,Online,5538.12
2024-02-11 00:00:00,West,Keyboard,Electronics,9.0,213.49,Online,1921.41
2024-02-13 00:00:00,South,Monitor,Accessories,16.0,35.19,Retail,563.04
2024-06-22 00:00:00,South,Keyboard,Electronics,25.0,212.7,Online,5317.5
2024-08-11 00:00:00,Central,Headphones,Accessories,17.0,33.53,Wholesale,570.01
2024-11-22 00:00:00,East,Smartphone,Accessories,24.0,79.53,Online,1908.72
2024-10-04 00:00:00,North,Keyboard,Electronics,8.0,607.87,Wholesale,4862.96
2024-10-27 00:00:00,Unknown,Mouse,Accessories,23.0,34.13,Wholesale,784.99
2024-07-14 00:00:00,North,Smartphone,Accessories,8.0,19.4,Wholesale,155.2
2024-04-07 00:00:00,North,Mouse,Electronics,22.0,595.86,Wholesale,13108.92
2024-04-03 00:00:00,East,Smartwatch,Accessories,8.0,20.75,Retail,166.0
2024-02-06 00:00:00,South,Headphones,Accessories,21.0,151.35,Retail,3178.35
2024-12-25 00:00:00,North,Smartphone,Accessories,18.0,81.83,Retail,1472.94
2024-12-02 00:00:00,West,Keyboard,Electronics,5.0,614.46,Retail,3072.3
2024-02-28 00:00:00,East,Headphones,Accessories,4.0,34.24,Online,136.96
2024-02-21 00:00:00,West,Mouse,Accessories,23.0,78.4,Retail,1803.2
2024-08-28 00:00:00,Central,Tablet,Accessories,9.0,19.36,Online,174.24
2024-11-01 00:00:00,Central,Keyboard,Electronics,25.0,400.9,Wholesale,10022.5
2024-04-19 00:00:00,North,Smartwatch,Accessories,14.0,34.41,Wholesale,481.74
2024-12-29 00:00:00,Unknown,Laptop,Accessories,18.0,142.71,Wholesale,2568.78
2024-10-23 00:00:00,Central,Monitor,Electronics,24.0,834.16,Retail,20019.84
2024-04-25 00:00:00,West,Tablet,Electronics,3.0,226.4,Retail,679.2
2024-02-08 00:00:00,Central,Keyboard,Electronics,4.0,407.89,Wholesale,1631.56
2024-05-30 00:00:00,South,Headphones,Accessories,23.0,34.1,Online,784.3
2024-08-08 00:00:00,South,Mouse,Accessories,13.0,80.26,Retail,1043.38
2024-04-11 00:00:00,West,Mouse,Accessories,4.0,19.47,Online,77.88
2024-10-24 00:00:00,East,Monitor,Accessories,18.0,20.06,Wholesale,361.08
2024-06-12 00:00:00,North,Mouse,Electronics,5.0,212.03,Wholesale,1060.15
2024-06-10 00:00:00,South,Smartwatch,Accessories,13.0,20.77,Online,270.01
2024-07-12 00:00:00,North,Tablet,Accessories,21.0,151.78,Wholesale,3187.38
2024-01-22 00:00:00,West,Mouse,Electronics,13.40625,404.2,Online,5418.81
2024-07-04 00:00:00,Central,Smartwatch,Accessories,21.0,19.88,Retail,417.48
2024-03-07 00:00:00,Central,Laptop,Accessories,6.0,144.15,Retail,864.9
2024-09-05 00:00:00,North,Mouse,Electronics,21.0,859.25,Retail,18044.25
2024-10-30 00:00:00,North,Smartphone,Accessories,17.0,19.44,Online,330.48
2024-12-01 00:00:00,North,Mouse,Electronics,25.0,595.51,Retail,14887.75
2024-12-11 00:00:00,South,Tablet,Accessories,1.0,20.24,Online,20.24
2024-03-11 00:00:00,South,Keyboard,Electronics,13.0,407.76,Online,5300.88
2024-11-06 00:00:00,West,Smartphone,Accessories,9.0,34.0,Online,306.0
2024-10-22 00:00:00,South,Mouse,Electronics,2.0,609.68,Wholesale,1219.36
2024-03-05 00:00:00,South,Mouse,Accessories,18.0,19.33,Online,347.94
2024-02-10 00:00:00,North,Tablet,Accessories,3.0,20.96,Online,62.88
2024-05-22 00:00:00,West,Monitor,Electronics,25.0,398.59,Online,9964.75
2024-06-02 00:00:00,West,Headphones,Electronics,25.0,229.59,Retail,5739.75
2024-08-12 00:00:00,Central,Smartwatch,Accessories,12.0,78.98,Wholesale,947.76
2024-10-10 00:00:00,South,Tablet,Accessories,10.0,151.57,Online,1515.7
2024-08-05 00:00:00,North,Smartphone,Electronics,21.0,385.96,Wholesale,8105.16
2024-03-17 00:00:00,East,Smartphone,Electronics,19.0,609.82,Wholesale,11586.58
2024-05-08 00:00:00,North,Smartphone,Electronics,8.0,627.71,Online,5021.68
2024-12-30 00:00:00,West,Smartphone,Electronics,3.0,589.33,Retail,1767.99
2024-09-21 00:00:00,West,Smartphone,Electronics,8.0,583.48,Wholesale,4667.84
2024-03-12 00:00:00,North,Smartphone,Electronics,19.0,595.32,Retail,11311.08
2024-11-27 00:00:00,East,Laptop,Electronics,11.0,575.67,Online,6332.37
2024-12-16 00:00:00,East,Smartphone,Electronics,8.0,877.35,Wholesale,7018.8
2024-02-10 00:00:00,South,Smartwatch,Electronics,13.40625,586.68,Online,7865.18
2024-05-01 00:00:00,West,Smartwatch,Accessories,25.0,153.73,Wholesale,3843.25
2024-09-05 00:00:00,South,Tablet,Accessories,15.0,143.66,Wholesale,2154.9
2024-02-06 00:00:00,Central,Monitor,Electronics,9.0,406.76,Retail,3660.84
2024-04-30 00:00:00,East,Laptop,Electronics,11.0,228.65,Retail,2515.15
2024-06-03 00:00:00,North,Monitor,Electronics,8.0,843.19,Online,6745.52
2024-08-28 00:00:00,East,Mouse,Electronics,20.0,224.24,Online,4484.8
2024-01-02 00:00:00,West,Smartphone,Accessories,23.0,20.19,Wholesale,464.37
2024-12-17 00:00:00,West,Smartphone,Electronics,3.0,619.91,Retail,1859.73
2024-03-28 00:00:00,South,Headphones,Electronics,20.0,622.25,Online,12445.0
2024-10-11 00:00:00,West,Laptop,Accessories,7.0,78.37,Retail,548.59
2024-11-01 00:00:00,North,Tablet,Electronics,5.0,820.88,Online,4104.4
2024-01-11 00:00:00,Central,Monitor,Electronics,19.0,388.81,Retail,7387.39
2024-12-17 00:00:00,South,Laptop,Electronics,14.0,210.54,Online,2947.56
2024-08-19 00:00:00,North,Smartwatch,Electronics,12.0,878.19,Retail,10538.28
2024-10-28 00:00:00,Central,Tablet,Accessories,4.0,154.99,Wholesale,619.96
2024-02-11 00:00:00,South,Laptop,Electronics,6.0,402.08,Retail,2412.48
2024-03-17 00:00:00,Central,Tablet,Electronics,12.0,857.01,Retail,10284.12
2024-06-04 00:00:00,East,Keyboard,Electronics,14.0,411.43,Online,5760.02
2024-12-30 00:00:00,East,Monitor,Accessories,20.0,35.11,Wholesale,702.2
2024-03-08 00:00:00,North,Keyboard,Electronics,8.0,221.95,Retail,1775.6
2024-09-15 00:00:00,Central,Smartphone,Accessories,13.40625,36.03,Retail,483.03
2024-08-14 00:00:00,Central,Tablet,Electronics,2.0,609.13,Online,1218.26
2024-01-10 00:00:00,East,Tablet,Electronics,5.0,401.95,Online,2009.75
2024-01-27 00:00:00,East,Keyboard,Electronics,13.40625,382.74,Online,5131.11
2024-06-25 00:00:00,East,Monitor,Accessories,15.0,36.51,Retail,547.65
2024-07-04 00:00:00,North,Monitor,Electronics,18.0,228.84,Online,4119.12
2024-10-30 00:00:00,East,Smartwatch,Electronics,8.0,227.28,Retail,1818.24
2024-06-09 00:00:00,South,Laptop,Accessories,13.0,144.46,Online,1877.98
2024-11-30 00:00:00,Central,Laptop,Electronics,22.0,876.95,Wholesale,19292.9
2024-04-25 00:00:00,West,Laptop,Electronics,20.0,886.47,Online,17729.4
2024-05-27 00:00:00,West,Monitor,Electronics,15.0,814.99,Wholesale,12224.85
2024-12-05 00:00:00,Central,Mouse,Electronics,3.0,227.01,Retail,681.03
2024-11-29 00:00:00,East,Headphones,Accessories,15.0,19.87,Online,298.05
2024-05-19 00:00:00,West,Keyboard,Accessories,14.0,76.73,Retail,1074.22
2024-07-10 00:00:00,South,Tablet,Accessories,3.0,34.56,Retail,103.68
2024-02-05 00:00:00,Central,Keyboard,Electronics,19.0,388.64,Retail,7384.16
2024-02-01 00:00:00,West,Monitor,Accessories,14.0,35.65,Wholesale,499.1
2024-09-26 00:00:00,North,Smartphone,Electronics,25.0,222.6,Online,5565.0
2024-05-05 00:00:00,West,Smartphone,Electronics,15.0,594.87,Online,8923.05
2024-02-17 00:00:00,South,Mouse,Electronics,15.0,626.82,Online,9402.3
2024-12-19 00:00:00,West,Laptop,Accessories,15.0,20.59,Retail,308.85
2024-10-30 00:00:00,Central,Monitor,Electronics,3.0,862.13,Retail,2586.39
2024-02-25 00:00:00,East,Tablet,Electronics,4.0,225.78,Online,903.12
2024-03-02 00:00:00,Central,Mouse,Electronics,19.0,403.78,Online,7671.82
2024-07-31 00:00:00,North,Smartphone,Accessories,20.0,19.82,Wholesale,396.4
2024-06-21 00:00:00,North,Keyboard,Electronics,13.40625,575.8,Wholesale,7719.32
2024-10-02 00:00:00,East,Headphones,Accessories,19.0,34.65,Retail,658.35
2024-05-16 00:00:00,North,Smartphone,Accessories,13.40625,81.62,Wholesale,1094.22
2024-12-16 00:00:00,Central,Monitor,Electronics,19.0,616.96,Wholesale,11722.24
2024-08-09 00:00:00,North,Headphones,Electronics,5.0,221.24,Online,1106.2
2024-05-27 00:00:00,Central,Headphones,Accessories,3.0,79.53,Wholesale,238.59
2024-04-14 00:00:00,East,Headphones,Accessories,10.0,79.5,Online,795.0
2024-04-26 00:00:00,East,Laptop,Accessories,10.0,76.11,Online,761.1
2024-06-22 00:00:00,East,Smartwatch,Electronics,6.0,881.44,Online,5288.64
2024-07-02 00:00:00,Central,Laptop,Accessories,23.0,146.93,Online,3379.39
2024-08-08 00:00:00,South,Smartwatch,Electronics,10.0,838.5,Retail,8385.0
2024-02-27 00:00:00,East,Keyboard,Accessories,8.0,143.37,Online,1146.96
2024-12-22 00:00:00,Central,Smartwatch,Accessories,19.0,35.85,Retail,681.15
2024-06-23 00:00:00,Central,Keyboard,Accessories,1.0,146.74,Wholesale,146.74
2024-04-26 00:00:00,North,Keyboard,Accessories,4.0,35.91,Online,143.64
2024-12-22 00:00:00,North,Smartwatch,Accessories,16.0,33.27,Wholesale,532.32
2024-07-06 00:00:00,Central,Laptop,Accessories,6.0,146.35,Wholesale,878.1
2024-03-05 00:00:00,East,Laptop,Electronics,2.0,854.54,Online,1709.08
2024-03-11 00:00:00,East,Monitor,Electronics,21.0,848.35,Wholesale,17815.35
2024-10-29 00:00:00,North,Smartphone,Electronics,17.0,210.63,Wholesale,3580.71
2024-05-31 00:00:00,Unknown,Monitor,Electronics,15.0,627.77,Retail,9416.55
2024-09-29 00:00:00,West,Smartwatch,Electronics,3.0,220.13,Wholesale,660.39
2024-03-19 00:00:00,West,Monitor,Accessories,17.0,153.08,Wholesale,2602.36
2024-08-17 00:00:00,Central,Smartphone,Electronics,21.0,215.96,Wholesale,4535.16
2024-03-05 00:00:00,West,Tablet,Electronics,1.0,604.44,Wholesale,604.44
2024-11-06 00:00:00,West,Smartwatch,Electronics,18.0,410.21,Online,7383.78
2024-06-02 00:00:00,Central,Keyboard,Accessories,22.0,148.63,Wholesale,3269.86
2024-12-24 00:00:00,East,Smartphone,Accessories,4.0,33.74,Retail,134.96
2024-02-13 00:00:00,South,Headphones,Electronics,18.0,615.87,Online,11085.66
2024-06-13 00:00:00,North,Smartphone,Accessories,11.0,79.29,Wholesale,872.19
2024-05-08 00:00:00,South,Tablet,Electronics,24.0,581.56,Retail,13957.44
2024-05-07 00:00:00,South,Keyboard,Electronics,18.0,397.94,Wholesale,7162.92
2024-11-26 00:00:00,North,Smartphone,Accessories,15.0,35.28,Online,529.2
2024-06-04 00:00:00,West,Laptop,Electronics,4.0,584.09,Online,2336.36
2024-06-17 00:00:00,South,Laptop,Electronics,9.0,880.46,Retail,7924.14
2024-02-28 00:00:00,West,Monitor,Electronics,11.0,822.11,Online,9043.21
2024-05-15 00:00:00,South,Keyboard,Electronics,3.0,228.34,Wholesale,685.02
2024-11-07 00:00:00,Central,Smartphone,Accessories,4.0,35.97,Retail,143.88
2024-05-15 00:00:00,Central,Laptop,Electronics,15.0,592.12,Online,8881.8
2024-04-19 00:00:00,West,Headphones,Electronics,6.0,839.71,Wholesale,5038.26
2024-03-29 00:00:00,Central,Smartphone,Accessories,25.0,82.07,Retail,2051.75
2024-04-05 00:00:00,North,Mouse,Electronics,22.0,621.71,Wholesale,13677.62
2024-10-03 00:00:00,South,Smartwatch,Accessories,8.0,20.57,Wholesale,164.56
2024-06-24 00:00:00,South,Tablet,Accessories,17.0,149.83,Retail,2547.11
2024-11-08 00:00:00,North,Smartphone,Electronics,21.0,388.44,Online,8157.24
2024-08-22 00:00:00,Central,Smartwatch,Electronics,3.0,602.26,Online,1806.78
2024-11-01 00:00:00,West,Tablet,Accessories,18.0,155.41,Retail,2797.38
2024-04-03 00:00:00,West,Keyboard,Electronics,12.0,411.91,Wholesale,4942.92
2024-08-14 00:00:00,East,Tablet,Accessories,10.0,35.24,Retail,352.4
2024-01-21 00:00:00,North,Smartwatch,Electronics,7.0,413.57,Online,2894.99
2024-01-26 00:00:00,North,Keyboard,Accessories,15.0,152.43,Wholesale,2286.45
2024-05-10 00:00:00,North,Monitor,Accessories,1.0,35.07,Online,35.07
2024-07-04 00:00:00,North,Headphones,Electronics,10.0,212.97,Retail,2129.7
2024-02-13 00:00:00,Central,Monitor,Accessories,2.0,77.98,Wholesale,155.96
2024-08-20 00:00:00,East,Mouse,Electronics,25.0,228.35,Wholesale,5708.75
2024-08-06 00:00:00,Central,Smartwatch,Accessories,6.0,20.49,Wholesale,122.94
2024-08-24 00:00:00,West,Smartwatch,Accessories,21.0,152.82,Retail,3209.22
2024-08-22 00:00:00,South,Headphones,Accessories,5.0,146.2,Online,731.0
2024-10-26 00:00:00,West,Mouse,Accessories,2.0,83.69,Retail,167.38
2024-11-22 00:00:00,East,Tablet,Accessories,9.0,20.33,Wholesale,182.97
2024-06-16 00:00:00,Central,Mouse,Electronics,13.40625,382.53,Wholesale,5128.29
2024-02-04 00:00:00,West,Headphones,Accessories,21.0,19.61,Wholesale,411.81
2024-11-21 00:00:00,West,Smartwatch,Accessories,14.0,77.41,Online,1083.74
2024-12-14 00:00:00,North,Smartwatch,Accessories,25.0,152.11,Retail,3802.75
2024-01-17 00:00:00,South,Keyboard,Accessories,23.0,146.74,Wholesale,3375.02
2024-02-11 00:00:00,East,Mouse,Accessories,11.0,35.44,Wholesale,389.84
2024-12-01 00:00:00,East,Monitor,Accessories,15.0,19.88,Retail,298.2
2024-10-08 00:00:00,East,Keyboard,Electronics,23.0,218.98,Wholesale,5036.54
2024-06-14 00:00:00,North,Tablet,Accessories,17.0,36.14,Retail,614.38
2024-01-17 00:00:00,East,Smartwatch,Electronics,15.0,397.79,Retail,5966.85
2024-01-23 00:00:00,Central,Smartphone,Accessories,15.0,152.15,Retail,2282.25
2024-06-18 00:00:00,North,Monitor,Electronics,9.0,580.71,Wholesale,5226.39
2024-06-09 00:00:00,West,Monitor,Electronics,22.0,214.61,Retail,4721.42
2024-01-01 00:00:00,Central,Tablet,Electronics,8.0,221.55,Retail,1772.4
2024-12-28 00:00:00,North,Keyboard,Electronics,3.0,416.22,Wholesale,1248.66
2024-01-04 00:00:00,South,Keyboard,Accessories,11.0,34.22,Retail,376.42
2024-03-19 00:00:00,South,Mouse,Accessories,20.0,33.47,Wholesale,669.4
2024-02-28 00:00:00,North,Mouse,Accessories,15.0,20.56,Online,308.4
2024-12-15 00:00:00,South,Laptop,Accessories,19.0,19.29,Wholesale,366.51
2024-03-13 00:00:00,North,Smartwatch,Electronics,6.0,874.87,Online,5249.22
2024-02-03 00:00:00,South,Tablet,Accessories,20.0,152.0,Online,3040.0
2024-01-29 00:00:00,North,Smartwatch,Electronics,10.0,417.81,Retail,4178.1
2024-07-16 00:00:00,East,Smartwatch,Accessories,24.0,155.27,Online,3726.48
2024-12-24 00:00:00,West,Laptop,Accessories,17.0,150.6,Wholesale,2560.2
2024-12-06 00:00:00,West,Monitor,Electronics,13.40625,858.53,Wholesale,11509.67
2024-07-05 00:00:00,South,Smartwatch,Electronics,12.0,213.61,Wholesale,2563.32
2024-07-23 00:00:00,Unknown,Keyboard,Accessories,3.0,157.0,Wholesale,471.0
2024-10-21 00:00:00,West,Mouse,Accessories,23.0,35.49,Wholesale,816.27
2024-10-31 00:00:00,East,Mouse,Accessories,20.0,20.63,Online,412.6
2024-01-26 00:00:00,Central,Tablet,Accessories,10.0,20.55,Retail,205.5
2024-11-20 00:00:00,North,Smartphone,Electronics,25.0,393.98,Online,9849.5
2024-08-22 00:00:00,North,Monitor,Electronics,16.0,605.8,Retail,9692.8
2024-08-13 00:00:00,North,Monitor,Electronics,24.0,211.89,Wholesale,5085.36
2024-09-02 00:00:00,West,Mouse,Electronics,6.0,230.24,Wholesale,1381.44
2024-03-31 00:00:00,West,Keyboard,Accessories,25.0,20.13,Online,503.25
2024-02-20 00:00:00,North,Keyboard,Accessories,24.0,34.44,Retail,826.56
2024-12-10 00:00:00,East,Laptop,Accessories,21.0,36.54,Retail,767.34
2024-01-22 00:00:00,West,Smartwatch,Electronics,15.0,885.8,Wholesale,13287.0
2024-04-21 00:00:00,West,Keyboard,Accessories,25.0,148.03,Online,3700.75
2024-03-15 00:00:00,South,Laptop,Accessories,19.0,35.64,Retail,677.16
2024-02-11 00:00:00,Central,Laptop,Electronics,13.40625,869.94,Online,11662.63
2024-07-21 00:00:00,East,Smartwatch,Electronics,19.0,881.03,Online,16739.57
2024-05-15 00:00:00,West,Keyboard,Accessories,14.0,152.95,Online,2141.3
2024-06-07 00:00:00,Central,Laptop,Accessories,21.0,36.02,Retail,756.42
2024-11-05 00:00:00,East,Monitor,Electronics,24.0,846.55,Retail,20317.2
2024-09-13 00:00:00,Central,Smartphone,Electronics,3.0,217.74,Online,653.22
2024-08-11 00:00:00,Central,Laptop,Electronics,13.0,623.97,Retail,8111.61
2024-11-23 00:00:00,North,Smartwatch,Electronics,24.0,830.88,Retail,19941.12
2024-12-08 00:00:00,South,Tablet,Accessories,6.0,154.31,Retail,925.86
2024-09-04 00:00:00,West,Laptop,Electronics,15.0,402.05,Wholesale,6030.75
2024-03-30 00:00:00,East,Tablet,Electronics,5.0,870.55,Online,4352.75
2024-01-08 00:00:00,North,Keyboard,Electronics,6.0,396.26,Wholesale,2377.56
2024-06-28 00:00:00,Central,Headphones,Accessories,22.0,36.68,Online,806.96
2024-05-14 00:00:00,Central,Monitor,Accessories,17.0,83.3,Online,1416.1
2024-01-15 00:00:00,West,Keyboard,Electronics,22.0,223.94,Wholesale,4926.68
2024-07-02 00:00:00,North,Headphones,Accessories,9.0,33.91,Retail,305.19
2024-07-30 00:00:00,North,Laptop,Accessories,24.0,83.4,Wholesale,2001.6
2024-10-03 00:00:00,Central,Headphones,Electronics,20.0,835.05,Retail,16701.0
2024-06-16 00:00:00,West,Mouse,Accessories,13.40625,77.06,Online,1033.09
2024-06-18 00:00:00,North,Mouse,Accessories,13.40625,20.05,Wholesale,268.8
